symbol,occurrences,distinct_components,host_present,components,files
config:chatbot,6,1,no,Titan Zero Chatbot PWA,donor:03_LEARNER_PWA_AND_CHANNELS/Titan_Zero_Chatbot_PWA/System/GenerativeUI/GenerativeUiResponseComposer.php | donor:03_LEARNER_PWA_AND_CHANNELS/Titan_Zero_Chatbot_PWA/System/TitanAI/modules/chatbot-agent/resources/views/header/inbox-notification.blade.php | donor:03_LEARNER_PWA_AND_CHANNELS/Titan_Zero_Chatbot_PWA/config/chatbot.php | donor:03_LEARNER_PWA_AND_CHANNELS/Titan_Zero_Chatbot_PWA/database/migrations/2024_10_21_101417_chatbot_avatars.php | donor:03_LEARNER_PWA_AND_CHANNELS/Titan_Zero_Chatbot_PWA/resources/views/frontend-ui/components/pwa.blade.php | donor:03_LEARNER_PWA_AND_CHANNELS/Titan_Zero_Chatbot_PWA/resources/views/staff-inbox/header/inbox-notification.blade.php
config:chatbot-instagram,2,1,no,Titan Zero Chatbot PWA,donor:03_LEARNER_PWA_AND_CHANNELS/Titan_Zero_Chatbot_PWA/System/TitanAI/channels/messaging-core/runtime/System/Helpers/Instagram.php | donor:03_LEARNER_PWA_AND_CHANNELS/Titan_Zero_Chatbot_PWA/System/TitanAI/channels/messaging-core/runtime/System/Http/Controllers/Oauth/InstagramController.php
config:cleaningjobs,10,1,no,09_PROPERTY_JOBS_AND_DISPATCH/CleaningJobs,donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/ControlPanel/Settings/SettingsRegistry.php | donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Listeners/SendWorkOrderWebhook.php | donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Models/JobComment.php | donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Models/JobFile.php | donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Models/JobResourceAllocation.php | donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Models/JobTimesheet.php | donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Models/WORequest.php | donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Models/WorkOrder.php | donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Routes/api.php | donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Routes/web.php
config:compliance_rule_packs,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/System/Modules/Premises/Config/compliance_rule_packs.php | host:app/Domains/WorkCore/System/Modules/Premises/Config/compliance_rule_packs.php
config:config,23,20,yes,06_WORKFORCE_AND_ONBOARDING/HRCore | 06_WORKFORCE_AND_ONBOARDING/OnboardingPro | 06_WORKFORCE_AND_ONBOARDING/Recruitment | 06_WORKFORCE_AND_ONBOARDING/StaffCompliance | 06_WORKFORCE_AND_ONBOARDING/Team | 07_COMPLIANCE_ASSESSMENT_AND_QUALITY/CleanQuality | 07_COMPLIANCE_ASSESSMENT_AND_QUALITY/QualityControl | 07_COMPLIANCE_ASSESSMENT_AND_QUALITY/compliance-auditing | 08_DOCUMENTS_EVIDENCE_AND_KNOWLEDGE/Documents | 08_DOCUMENTS_EVIDENCE_AND_KNOWLEDGE/JobAssist-upgrade-pass5 | 08_DOCUMENTS_EVIDENCE_AND_KNOWLEDGE/TitanDocs | 08_DOCUMENTS_EVIDENCE_AND_KNOWLEDGE/TitanVault | 09_PROPERTY_JOBS_AND_DISPATCH/CleaningJobs | 09_PROPERTY_JOBS_AND_DISPATCH/Dispatch | 09_PROPERTY_JOBS_AND_DISPATCH/ManagedPremises | 09_PROPERTY_JOBS_AND_DISPATCH/Report | 11_AUDIT_INTEGRATIONS_AND_RECOVERY/RestAPI | 11_AUDIT_INTEGRATIONS_AND_RECOVERY/TitanRewind-worksuite-upgrade-pass4 | 13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/Config/config.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/config/config.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/OnboardingPro/OnboardingPro/Config/config.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/Recruitment/Recruitment/Config/config.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/StaffCompliance/StaffCompliance/Config/config.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/Team/Team/Config/config.php | donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/CleanQuality/CleanQuality/Config/config.php | donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/QualityControl/QualityControl/Config/config.php | donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/compliance-auditing/compliance-auditing/AuditLog/config/config.php | donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/compliance-auditing/compliance-auditing/Auditing/Config/config.php | donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/compliance-auditing/compliance-auditing/logtracker/config/config.php | donor:08_DOCUMENTS_EVIDENCE_AND_KNOWLEDGE/Modules_for_Titan_BOS/Documents/Documents/Config/config.php | donor:08_DOCUMENTS_EVIDENCE_AND_KNOWLEDGE/Modules_for_Titan_BOS/JobAssist-upgrade-pass5/JobAssist/Config/config.php | donor:08_DOCUMENTS_EVIDENCE_AND_KNOWLEDGE/Modules_for_Titan_BOS/TitanDocs/TitanDocs/Config/config.php | donor:08_DOCUMENTS_EVIDENCE_AND_KNOWLEDGE/Modules_for_Titan_BOS/TitanVault/TitanVault/Config/config.php | donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Config/config.php | donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/Dispatch/Dispatch/Config/config.php | donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/ManagedPremises/ManagedPremises/Config/config.php | donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/Report/Report/Config/config.php | donor:11_AUDIT_INTEGRATIONS_AND_RECOVERY/Modules_for_Titan_BOS/RestAPI/RestAPI/Config/config.php | donor:11_AUDIT_INTEGRATIONS_AND_RECOVERY/Modules_for_Titan_BOS/TitanRewind-worksuite-upgrade-pass4/TitanRewind/Config/config.php | donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/System/Modules/Premises/Config/config.php | host:app/Domains/WorkCore/System/Modules/Premises/Config/config.php
config:cors,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/config/cors.php | host:config/cors.php
config:creative-suite-annotations,3,1,no,05_MEDIA_AND_LEARNING_CONTENT/creative-suite-annotations,donor:05_MEDIA_AND_LEARNING_CONTENT/Marketing_and_Creative_Extensions/creative-suite-annotations/System\Http\Controllers\CreativeSuiteAnnotationsAIController.php | donor:05_MEDIA_AND_LEARNING_CONTENT/Marketing_and_Creative_Extensions/creative-suite-annotations/System\Services\CreativeSuiteAnnotationsAIService.php | donor:05_MEDIA_AND_LEARNING_CONTENT/Marketing_and_Creative_Extensions/creative-suite-annotations/resources\views\admin\settings-section.blade.php
config:currency,3,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/config/currency.php | host:app/Helpers/helpers.php | host:config/currency.php
config:customer-tags,2,1,no,Titan Zero Chatbot PWA,donor:03_LEARNER_PWA_AND_CHANNELS/Titan_Zero_Chatbot_PWA/System/TitanAI/features/customer-tags/System/Support/FeatureFlags.php | donor:03_LEARNER_PWA_AND_CHANNELS/Titan_Zero_Chatbot_PWA/System/TitanAI/features/customer-tags/config/customer-tags.php
config:database,4,3,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host | Titan Train v0.7.0,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/config/database.php | donor:01_TITAN_TRAIN_CANONICAL_CORE/Titan_Train_v0.7.0/config/database.php | host:config/database.php | host:packages/rachidlaasri/laravel-installer/src/Controllers/EnvironmentController.php
