symbol,occurrences,distinct_components,host_present,components,files
App\Domains\WorkCore\System\Modules\Forms\Providers\WorkFormsServiceProvider,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/System/Modules/Forms/Providers/WorkFormsServiceProvider.php | host:app/Domains/WorkCore/System/Modules/Forms/Providers/WorkFormsServiceProvider.php
App\Domains\WorkCore\System\Modules\KnowledgeBase\Providers\WorkKnowledgeBaseServiceProvider,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/System/Modules/KnowledgeBase/Providers/WorkKnowledgeBaseServiceProvider.php | host:app/Domains/WorkCore/System/Modules/KnowledgeBase/Providers/WorkKnowledgeBaseServiceProvider.php
App\Domains\WorkCore\System\Modules\Operations\Providers\WorkOperationsServiceProvider,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/System/Modules/Operations/Providers/WorkOperationsServiceProvider.php | host:app/Domains/WorkCore/System/Modules/Operations/Providers/WorkOperationsServiceProvider.php
App\Domains\WorkCore\System\Modules\People\Providers\WorkPeopleServiceProvider,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/System/Modules/People/Providers/WorkPeopleServiceProvider.php | host:app/Domains/WorkCore/System/Modules/People/Providers/WorkPeopleServiceProvider.php
App\Domains\WorkCore\System\Modules\Premises\Providers\AuthServiceProvider,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/System/Modules/Premises/Providers/AuthServiceProvider.php | host:app/Domains/WorkCore/System/Modules/Premises/Providers/AuthServiceProvider.php
App\Domains\WorkCore\System\Modules\Premises\Providers\EventServiceProvider,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/System/Modules/Premises/Providers/EventServiceProvider.php | host:app/Domains/WorkCore/System/Modules/Premises/Providers/EventServiceProvider.php
App\Domains\WorkCore\System\Modules\Premises\Providers\WorkPremisesServiceProvider,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/System/Modules/Premises/Providers/WorkPremisesServiceProvider.php | host:app/Domains/WorkCore/System/Modules/Premises/Providers/WorkPremisesServiceProvider.php
App\Domains\WorkCore\System\Modules\Scheduling\Providers\WorkSchedulingServiceProvider,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/System/Modules/Scheduling/Providers/WorkSchedulingServiceProvider.php | host:app/Domains/WorkCore/System/Modules/Scheduling/Providers/WorkSchedulingServiceProvider.php
App\Domains\WorkCore\System\Modules\TitanVault\Providers\WorkTitanVaultServiceProvider,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/System/Modules/TitanVault/Providers/WorkTitanVaultServiceProvider.php | host:app/Domains/WorkCore/System/Modules/TitanVault/Providers/WorkTitanVaultServiceProvider.php
App\Domains\WorkCore\System\Modules\Wizards\Providers\WorkWizardsServiceProvider,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/System/Modules/Wizards/Providers/WorkWizardsServiceProvider.php | host:app/Domains/WorkCore/System/Modules/Wizards/Providers/WorkWizardsServiceProvider.php
App\Domains\WorkCore\System\Modules\Workforce\Providers\WorkWorkforceServiceProvider,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/System/Modules/Workforce/Providers/WorkWorkforceServiceProvider.php | host:app/Domains/WorkCore/System/Modules/Workforce/Providers/WorkWorkforceServiceProvider.php
App\Domains\WorkCore\System\Verticals\Providers\WorkCoreVerticalOperationsServiceProvider,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/System/Verticals/Providers/WorkCoreVerticalOperationsServiceProvider.php | host:app/Domains/WorkCore/System/Verticals/Providers/WorkCoreVerticalOperationsServiceProvider.php
App\Domains\WorkCore\WorkCoreServiceProvider,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/WorkCoreServiceProvider.php | host:app/Domains/WorkCore/WorkCoreServiceProvider.php
App\Extensions\ModelCouncil\System\ModelCouncilServiceProvider,2,2,no,04_AI_AUTHORING_STUDIO/model-council | Titan Zero Chatbot PWA,donor:04_AI_AUTHORING_STUDIO/Base_App_System_Extensions/model-council/System\ModelCouncilServiceProvider.php | donor:03_LEARNER_PWA_AND_CHANNELS/Titan_Zero_Chatbot_PWA/System/TitanAI/model-routing/model-council/System/ModelCouncilServiceProvider.php
App\Providers\AppServiceProvider,2,2,yes,MagicAI + WorkCore host | Titan Train v0.7.0,donor:01_TITAN_TRAIN_CANONICAL_CORE/Titan_Train_v0.7.0/app/Providers/AppServiceProvider.php | host:app/Providers/AppServiceProvider.php
