symbol,occurrences,distinct_components,host_present,components,files
cleaning_job_activity_logs,2,1,no,09_PROPERTY_JOBS_AND_DISPATCH/CleaningJobs,donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Database/Migrations/2026_04_28_000130_create_cleaning_job_subtasks_comments_files_logs_table.php | donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Database/migrations/2026_04_28_000130_create_cleaning_job_subtasks_comments_files_logs_table.php
cleaning_job_comments,2,1,no,09_PROPERTY_JOBS_AND_DISPATCH/CleaningJobs,donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Database/Migrations/2026_04_28_000130_create_cleaning_job_subtasks_comments_files_logs_table.php | donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Database/migrations/2026_04_28_000130_create_cleaning_job_subtasks_comments_files_logs_table.php
cleaning_job_files,2,1,no,09_PROPERTY_JOBS_AND_DISPATCH/CleaningJobs,donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Database/Migrations/2026_04_28_000130_create_cleaning_job_subtasks_comments_files_logs_table.php | donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Database/migrations/2026_04_28_000130_create_cleaning_job_subtasks_comments_files_logs_table.php
cleaning_job_milestones,2,1,no,09_PROPERTY_JOBS_AND_DISPATCH/CleaningJobs,donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Database/Migrations/2026_04_28_000110_create_cleaning_job_milestones_table.php | donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Database/migrations/2026_04_28_000110_create_cleaning_job_milestones_table.php
cleaning_job_resource_allocations,2,1,no,09_PROPERTY_JOBS_AND_DISPATCH/CleaningJobs,donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Database/Migrations/2026_04_28_000140_create_cleaning_job_timesheets_and_resources_table.php | donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Database/migrations/2026_04_28_000140_create_cleaning_job_timesheets_and_resources_table.php
cleaning_job_resource_capacities,2,1,no,09_PROPERTY_JOBS_AND_DISPATCH/CleaningJobs,donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Database/Migrations/2026_04_28_000140_create_cleaning_job_timesheets_and_resources_table.php | donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Database/migrations/2026_04_28_000140_create_cleaning_job_timesheets_and_resources_table.php
cleaning_job_stages,2,1,no,09_PROPERTY_JOBS_AND_DISPATCH/CleaningJobs,donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Database/Migrations/2026_04_28_000100_create_cleaning_job_stages_table.php | donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Database/migrations/2026_04_28_000100_create_cleaning_job_stages_table.php
cleaning_job_subtasks,2,1,no,09_PROPERTY_JOBS_AND_DISPATCH/CleaningJobs,donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Database/Migrations/2026_04_28_000130_create_cleaning_job_subtasks_comments_files_logs_table.php | donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Database/migrations/2026_04_28_000130_create_cleaning_job_subtasks_comments_files_logs_table.php
cleaning_job_tasks,2,1,no,09_PROPERTY_JOBS_AND_DISPATCH/CleaningJobs,donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Database/Migrations/2026_04_28_000120_create_cleaning_job_tasks_table.php | donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Database/migrations/2026_04_28_000120_create_cleaning_job_tasks_table.php
cleaning_job_timesheets,2,1,no,09_PROPERTY_JOBS_AND_DISPATCH/CleaningJobs,donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Database/Migrations/2026_04_28_000140_create_cleaning_job_timesheets_and_resources_table.php | donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Database/migrations/2026_04_28_000140_create_cleaning_job_timesheets_and_resources_table.php
